career_objective,skills,educational_institution_name,degree_names,passing_years,major_field_of_studies,professional_company_names,start_dates,end_dates,related_skils_in_job,positions,responsibilities,﻿job_position_name,has_job_data,has_cv_data,data_type,cv_id
"Obtain a position in a professional organization where I can apply my skills and loyalty in exchange for career guidance, training and opportunity for advancement.","['accounting', 'accountant', 'administrative', 'Army', 'Agency', 'backup', 'book', 'budget', 'Business Administration', 'cash flow', 'contracts', 'DC', 'documentation', 'filing', 'financial', 'GL', 'home office', 'IMS', 'International Business', 'materials', 'Access', 'Excel', 'Microsoft Office', 'office', 'PowerPoint', 'Word', 'procurement', 'purchasing', 'receiving', 'record keeping', 'transportation', 'type', 'workshops']","['Virginia International University', 'Kardan University', 'Capital Institute of Information Technology', 'Khurasan High School']","[""Master's in Business Administration (International Business)"", ""Bachelor's in Business Administration Finance"", 'Diploma in Business Administration', None]","['2016', '2012', '2006', '2006']","['International Business', 'Business Administration Finance', 'Business Administration', None]","['Company Name', 'Company Name', 'Company Name']","['July 2012', 'February 2011', 'June 2010']","['December 2013', 'June 2012', 'November 2010']","[['financial transactions', 'Cash Counts', 'Bank account reconciliations', 'WEBFCR', 'cash flow projects', 'vendor invoices', 'IMS', 'accounting documents'], ['supplier invoices', 'payment transfer', 'sub-contracts documents', 'vouchers', 'financial reports', 'cash payments'], ['financial files', 'lodging arrangements', 'correspondence handling', 'purchasing', 'reports preparation', 'IED project']]","['Project Accountant', 'Subcontract Accountant', 'Administrative & Finance Coordinator']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",True,True,mixed,199
,"['agency', 'delivery', 'insurance', 'materials', 'policies', 'roofing', 'selling', 'sales']",['UNIVERSITY OF MINNESOTA DULUTH'],['Bachelor of Arts'],['May 2006'],['Liberal Arts Environmental Studies Geography'],"['Company Name', 'Company Name', 'Company Name']","['07/2015', '07/2010', '07/2006']","['Current', '07/2015', '07/2010']","[['selling', 'insurance'], ['selling', 'insurance'], ['selling', 'roofing']]","['Business Development Consultant', 'P&C Producer and Sales Agent', 'Sales Representative']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",Head of Internal Control & Compliance (ICC) - SEVP/DMD,True,True,mixed,200
"A practiced, professional Test Manager with over 20 years of success managing test and validation of next-generation software / hardware technologies across multiple concurrent projects and releases. Delivered effectively to time and budget on a variety of complex, large-scale, multiplatform projects including: complex network framework, IoT (Internet of Things), telecommunication and hosted services, business process tools, automation frameworks. Managed, trained and mentored multi-disciplinary, geographically dispersed teams including, software development, test and validation, planning, QA, configuration management, agile scrum master and product owner.","['audio', 'automation', 'C', 'C++', 'CD-ROMs', 'Ceridian', 'cisco', 'Hardware', 'cost reduction', 'clients', 'drivers', 'executive management', 'Functional', 'inspection', 'Intel', 'Java', 'Linux', 'MAC', 'Managing', 'marketing and sales', 'C#', 'Windows', 'Windows XP', 'multimedia', 'Objective C', 'OS', 'policies', 'printers', 'processes', 'product development', 'quality', 'quality assurance', 'quest', 'sales', 'scanners', 'Scheduling', 'scrum', 'scripts', 'software development', 'software testing', 'sound cards', 'sun', 'test tools', 'USB', 'validation', 'video', 'Vista']","['Webster University', 'Kabul University']","['Master of Science', 'Bachelor of Science']","['2004', '1992']","['Computer Resource Information Management', 'Computer Science']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","['September 2011', 'July 2009', 'November 2006', 'May 2004', 'August 2001', 'July 1995', 'N/A']","['Current', 'September 2011', 'July 2009', 'November 2006', 'February 2003', 'December 1999', 'N/A']","[['IoT', 'automation', 'C', 'C++', 'C#', 'Java', 'Objective C', 'Gerrit', 'Jira', 'Clear quest', 'scrum', 'development'], ['testing', 'quality assurance', 'development', 'Jira'], ['quality assurance', 'scrum', 'Jira', 'Rally', 'Clear Quest', 'SaaS'], ['testing', 'quality assurance', 'development'], ['testing', 'automation'], ['quality assurance', 'testing'], ['testing', 'quality assurance']]","['Engineering Manager', 'Director of Quality Assurance', 'Director of Quality Assurance', 'Quality Assurance Manager', 'Lead Test Engineer', 'Lead Test Engineer', 'Owner / President']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,True,True,mixed,201
"Financial Accountant specializing in financial planning, reporting and analysis in both private and public sectors. Capable Accountant successful at managing multiple projects and consistently meeting deadlines under pressure. Extensive knowledge of accounting software and processes.","['account reconciliations', 'accounting', 'accounts payable', 'Accounts Receivable', 'AP', 'Balance sheet', 'Bank Reconciliation', 'Banking', 'Billing', 'book', 'Com', 'Client', 'edit', 'Finance', 'Financials', 'financial reports', 'Preparing financial reports', 'focus', 'functional', 'General Ledger', 'GL', 'Inventory control', 'process invoices', 'Invoice Processing', 'invoicing', 'MBA', 'mail', 'office', 'Developer', 'profit and loss statement', 'coding', 'reporting', 'researching', 'SAP FI', 'SAP']","['N/A', 'N/A', 'N/A']","['MBA', 'B.Com', 'Diploma']","['N/A', 'N/A', 'N/A']","['Finance and IT', 'Mgt Hons', 'Computer Application']","['Company Name', 'Company Name', 'Company Name']","['January 2016', 'January 2016', 'March 2009']","['January 2016', 'January 2016', 'December 2012']","[['Cash book maintenance', 'Bank Reconciliation Statement', 'Billing And Realisation', 'Verification of Bills'], ['journal entries', 'general ledger', 'bank account reconcilation', 'financial reports', 'SAP'], ['Accounts receivable', 'Accounts Payable', 'General Ledger', 'SAP Financials', 'P2P']]","['Accountant', 'Consultant', 'N/A']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,True,True,mixed,202
,"['15+ years of experience in Accounting & Bookkeeping Services', 'Financial statements', 'Bank reconciliations and General Ledger expertise', 'Flexible team player', 'Financial statement analysis', 'Tax return filing', 'GAAP understanding', 'Bank reconciliations and balancing', 'Microsoft Word', 'Excel', 'Access', 'PowerPoint', 'Outlook', 'Asset Keeper Pro Software', 'QuickBooks Software', 'Fixed Asset Solutions Software', 'Creative Solutions Bookkeeping Software', 'HOST Software', 'Document Manager Software', 'ProSystem', 'UltraTax', 'Lacerte Tax Preparation Software']",['Northwestern State University of Louisiana'],['Bachelor'],['2002'],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['Aug 2013', 'Aug 2009', 'Jan 2006', 'Jan 2003']","['Current', 'Feb 2013', 'Apr 2008', 'Aug 2004']","[['Financial Statements', 'Bank Reconciliations', 'Accounts Payable', 'Fixed Assets'], ['Hospital Financial Statements', 'Budget', 'Forecasts'], ['Tax Returns', 'Budget', 'Forecasts', 'Accounting Software'], ['Tax Returns', 'Audit', 'Confidentiality Protocols']]","['Accountant', 'Accountant', 'Accountant', 'Accountant']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",Network Support Engineer,True,True,mixed,203
,"['Data Analytics', 'Business Analysis', 'Business Intelligence', 'Machine Learning', 'Python', 'SQL', 'Tableau', 'PowerBi', 'Jupyter', 'SSMS', 'Data Analysis', 'Dax', 'ETL']","['A.G. PATIL INSTITUTE OF TECHNOLOGY, Solapur', 'Walchand institute of technology, Solapur']","['B.Tech', 'M.E']","['2017', '2019']","['Computers', 'COMPUTER SCIENCE']",['Graphene health tech Pvt Ltd'],['Oct 2019'],['Till Date'],"[['Business Intelligence', 'Tableau', 'SQL']]",['BI Engineer'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",Sr.Officer / Executive - Internal Audit,True,True,mixed,204
,"['Perl', 'Java', 'C++', 'HTML', 'PHP', 'MySQL', 'Scheme', 'MatLab', 'Microsoft Office', 'Adobe Photoshop', 'Adobe Dreamweaver', '3ds Max', 'Windows (95, 98, 2000, XP, Vista)', 'Mac OS', 'Linux', 'Self-motivated', 'Creative thinker', 'Detail-oriented', 'Excellent time management skills']","['Nova Southeastern University, Davie FL']",['B.S. in Computer Science'],['Expected May 2010'],['Computer Science'],"['ABC Research', 'Library Application Services, NSU', 'Computer Science Departments, NSU', 'YMCA']","['May 2008', 'May 2007', 'Sept 2007', 'Jan 2005']","['Sept 2008', 'Present', 'May 2008', 'August 2007']","[['Technical support', 'Social networking software'], ['Web development', 'Technical administration'], ['Teaching', 'Explaining complex concepts'], ['Teaching basic computer skills']]","['Collaborative User Experience Group Intern', 'Student Web Developer', 'Teaching Assistant', 'Computer teacher']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,True,True,mixed,205
Seeking a technical position within an engineering team.,"['AutoCAD', 'C++', 'Visual Basics', 'Programmable Logic Controllers', 'Electrical Mechanical Systems', 'Instrumentation and Controls', 'Industrial Electricity', 'Engineering Economy', 'Technical Grammar Skills', 'Communication', 'Team work', 'Problem solving skills', 'Leadership']",['Middle Tennessee State University'],['Bachelor of Science'],['N/A'],['Engineering Technology Computer Engineering'],"['Company Name', 'Company Name', 'N/A']","['Jan 2015', 'Jan 2013', 'Jan 2011']","['Current', 'Jan 2015', 'Jan 2013']","[['Leadership', 'Project management', 'Team management', 'Budgeting'], ['Project management', 'Teamwork', 'Automation'], ['OEE', 'Safety solutions', 'KPI management']]","['Engineering Business Unit Leader', 'Project Engineer', 'Operations Technician']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",Marketing Officer,True,True,mixed,206
,"['Requirement Gathering', 'Software Development', 'Data Reporting', 'Root Cause Analysis', 'Solution Engineering', 'Key Aspect Analysis', 'Data Mining', 'Data Analytics', 'Java', 'HTML', 'JavaScript', 'C', 'Python']","['Sikkim University', 'Sikkim University']","['Bachelor of Computer Applications', 'Master of Computer Applications']","['2019', '2021']","['Computers', 'Computers']","['Sikkim University', 'Sikkim University']","['2020', '2019']","['2021', '2021']","[['Teaching', 'Student Management', 'Thesis Guidance'], ['Research', 'Machine Learning', 'Project Management']]","['Instructor & Teaching Assistant', 'Research Assistant']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",Sr.Officer / Executive - Internal Audit,True,True,mixed,207
To obtain a rewarding position in a field where my skills can be further developed and utilized.,"['Experienced with Microsoft Office - Word, Excel, Outlook, SharePoint & Costpoint', 'Administrative Assistant', 'Benefits', 'Clerical', 'Clients', 'Data entry', 'Database', 'Features', 'Filing', 'Forms', 'GIS', 'Mailing', 'Meetings', 'Excel', 'Mail', 'Outlook', 'SharePoint', 'Microsoft Office - Word', 'Office equipment', 'Policies', 'Processes', 'Reception', 'Recording', 'Retail', 'Scanning', 'Telephone', 'Phone', 'Typing']","['University of Alabama in Huntsville - City , State', 'East Limestone High School - City , State']","['B.S. Degree', None]","['2020', '2016']","['Progress', None]","['Company Name', 'Company Name', 'Company Name']","['01/2018', '01/2017', '01/2015']","['01/2019', '01/2018', '01/2017']","[['Clerical', 'Data entry', 'Scanning', 'Reception', 'GIS'], ['Clerical', 'Filing', 'Scan', 'Data entry', 'Reception'], ['Retail', 'Customer service', 'Sales']]","['Engineering Office Clerk', 'Benefits Clerk', 'Sales Associate']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,True,True,mixed,208
"Second year Computer Science student at the University of York seeking a summer internship in software development. Programming skills in Python, Java and Visual Basic have been developed through degree, alongside the ability to analyse and work through problems in a logical manner. Work experience in Education and Retail has developed customer service skills and ability to communicate with a range of people.","['Python', 'Java', 'Visual Basic', 'Windows', 'Linux', 'HTML', 'CSS', 'Javascript', 'PHP', 'SQL', 'NodeJS', 'App development (Android and iOS)', 'User centered design', 'Algorithms and data structures', 'Basic processor design', 'Electronic circuit analysis']","['University of York', 'Egerton Grammar School']","['MEng Computer Science', 'A Level']","['2020', '2016']","['Computer Science', None]","['University of York', 'Study Support Centre', 'Boots, Gateshead']","['October 2018', 'June 2018', '2015']","['present', 'September 2018', '2017']","[['Time management', 'Organization', 'Public speaking'], ['Tutoring', 'Record keeping', 'Communication'], ['Customer service', 'Product knowledge', 'Healthcare guidelines']]","['Student Ambassador', 'Tutor', 'Sales Assistant']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",Senior iOS Engineer,True,True,mixed,209
Graduate of computer science with experience working across the full-stack of software development. Looking for a role where I can grow and learn from experienced team members while drawing on project experience I have already successfully executed.,"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs', 'Git']",['University of Illinois Chicago'],['B.S.'],['2020'],['Computer Science'],['Book of the Month'],['April 2019'],['September 2019'],[None],['Web Developer Intern'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",Data Engineer,True,True,mixed,210
A highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where I can utilize my skills and knowledge to contribute for the growth of the organization,"['Data Analysis', 'Data Visualization', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'Algorithms', 'Python', 'Hive', 'SQL', 'Java', 'Tableau', 'Big Data', 'Hadoop', 'C++', 'ANN']",['Visveswaraiah Technological University (VTU)'],['B.Tech'],['2019'],['N/A'],['Sahara Medica'],['Dec 2019'],['May 2020'],[None],['Intern'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,True,True,mixed,211
,"['ProEngineer/CREO', 'MiniTab', 'MS Office Suite', 'MS Project', 'MS Visio', 'Injection Molding', 'Trackwise', 'Catsweb', 'Manufacturing', 'Assembly', 'Automation', 'Budget', 'Calibration', 'CNC', 'Coaching', 'Stat Graphics', 'Process Engineering', 'Manufacturing process development and improvement', 'Manufacturing yield improvement', 'CIP']","['UNIVERSITY OF VIRGINIA', 'COLBY COLLEGE']","['Master of Science', 'Bachelor of Arts']","['N/A', 'N/A']","['Mechanical Engineering', 'Physics and Biology']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","['April 2014', 'March 2011', 'September 2007', 'February 2005', 'September 2003', 'July 2002', 'September 2000']","['Current', 'April 2014', 'March 2011', 'September 2007', 'February 2005', 'September 2003', 'July 2002']","[['Quality Engineering', 'Compliance', 'NCR Investigations', 'CAPA implementation', 'Calibration'], ['Process Control', 'Automation', 'Injection Molding', 'CNC machining', 'Chemical Processing', 'Technological Expertise'], ['Drafting', 'Custom Tool Production', 'Milling', 'Injection Molding', 'Clean Room Engineering'], ['Process Development and Improvement', 'Automation', 'Validation', 'Production', 'Software Improvement'], ['Automation', 'System Design', 'Labview'], ['Patent Review', 'Compliance', 'Communication'], ['Sol-gel Production', 'Array Design', 'Instrumentation Development', 'Material Testing']]","['Manager, Quality Engineering', 'Senior Engineer II', 'Senior Engineer I', 'Process Engineer II', 'Research Engineer', 'Patent Examiner', 'Graduate Research Assistant']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",Senior Software Engineer,True,True,mixed,212
I am a Post Graduate having knowledge of industry-level Machine Learning problems and Research topics. I currently work as a Machine Learning Engineer and I want to keep exploring such opportunities.,"['Machine Learning Engineering', 'Algorithm development', 'Python', 'Data Arbitration', 'Neural Networks', 'PyTorch', 'Pattern Recognition', 'Chatbot']","['St Josephs College of Arts And Science Bengaluru', 'Loyola Academy Degree & PG College, Hyderabad']","['B.Sc', 'M.Sc']","['2018', '2020']","['Computer Science Engineering', 'Big Data Analytics']",['ERC Solution'],['Jan 2020'],['Ongoing'],"[['Machine Learning', 'Feature Selection', 'Classification', 'Project Management']]",['Associate Machine Learning Engineer'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",Network Support Engineer,True,True,mixed,213
,"['Account Reconciliation', 'Accounting', 'Accounts Payable', 'Accounts Receivable', 'AR', 'Billing', 'Budget', 'Cash Handling', 'Closing', 'Coaching', 'Communication Skills', 'Contracts', 'Credit', 'Customer Service', 'Financial', 'Forms', 'General Ledger', 'General Ledger Accounts', 'Grants', 'Groupwise', 'Instructing', 'Mentoring', 'Merchandising', 'Microsoft Office', 'Outlook', 'Organizational Skills', 'Packaging', 'Policies', 'Pricing', 'Public Speaking', 'Purchasing', 'Receiving', 'Reconciling', 'Research', 'Spreadsheets', 'Team Player', 'Time Management', 'Year-End']","['Prairie View A & M University', 'University of North Texas', 'University of North Texas']","['BBA', 'BBA', 'MBA']","['2003', '2013', '2015']","['Accounting', 'Finance', 'Strategic Management']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","['January 2014', 'January 2007', 'January 2006', 'June 2003', 'January 2003']","['Current', 'January 2014', 'January 2007', 'January 2004', 'January 2004']","[['Grant management', 'Account Reconciliation'], ['Accounts Receivable', 'Accounts Payable', 'General Ledger'], ['General Ledger', 'Spreadsheets'], ['Instructing', 'Public Speaking'], ['Accounts Receivable', 'Customer Service']]","['Accountant III', 'Assistant Accountant', 'Accounting Clerk B', 'Accounting Instructor', 'Student Accounts Representative/Bookkeeper']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",Business Development Executive,True,True,mixed,214
"I am a software engineer, and I want to work on full time roles associated with Machine Learning. I have previously worked on some corporate models and due to its intricacies I want to explore more in the domain.","['C++', 'Python', 'Firebase', 'Flutter', 'Tensorflow', 'Pandas', 'Numpy', 'Kotlin', 'Java', 'MongoDB', 'NoSQL']","['National Institute of Technology (NIT), Hamirpur']",['B.Tech'],['2020'],['Computers'],['XcelSior'],['May 2019'],['Till date'],"[['Unsupervised learning', 'DBSCAN', 'K-Means']]",['SDE'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",Mechanical Engineer,True,True,mixed,215
,"['Mathematical modelling', 'Machine Learning', 'Predictive Analysis', 'Artificial Intelligence', 'AWS deployment', 'Data gathering', 'Data Mining', 'Python']",['Sanghvi College of Engineering'],['B.Tech'],['2019'],['N/A'],['BPM Foundation'],['Jun 2020'],['Ongoing'],"[['Data Sampling', 'Management of Agricultural Produce']]",['Data Manager'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",Executive - VAT,True,True,mixed,216
,"['QuickBooks', 'Sage', 'Lacerte', 'Intuit ProSeries', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Microsoft Outlook', 'Microsoft Power Pivot', 'Microsoft PowerPoint', 'CalBench', 'FASB & GAAP standards', 'Sarbanes-Oxley', 'Generally Accepted Auditing Standards']","['LIU', 'Hunter College']","['Master of Science', 'Bachelor of Science']","['Present', 'N/A']","['Taxation', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","['January 2016', 'February 2015', 'May 2010', 'September 1996']","['Current', 'January 2016', 'August 2011', 'March 2004']","[['cash receipts', 'A/R', 'A/P', 'notes payable', 'interest payable', 'unearned revenues', 'legal services', 'revenues', 'expenses', 'office supplies', 'insurance', 'payroll processing', 'petty cash', 'reconciliation', 'financial statement analysis', 'tax returns'], ['A/R', 'A/P', 'tangible assets', 'revenue', 'expenses', 'COGS', 'depreciation', 'advertising', 'inventory', 'intangible assets', 'line of credit', 'bad debts', 'credit card transactions', 'financial statements'], ['stocking', 'customer relations', 'loading/unloading', 'order picking/packing'], ['business operations', 'workforce management', 'customer satisfaction', 'social networking']]","['Accountant', 'Accounting Assistant', 'Stock Clerk', 'Restaurant Operations Manager']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",Mechanical Engineer,True,True,mixed,217
,"['Business to Business', 'Business to Customer', 'Contract Negotiation', 'Calm Under Pressure', 'Account Management', 'Total Quality Management', 'P&L Management', 'Business Development']",['Grambling State University'],['Bachelor of Science'],['N/A'],['Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","['07/2005', '06/2013', '02/2007', '08/2003', '01/2001', '01/1998', '01/1994']","['Current', '02/2015', '03/2009', '02/2007', '01/2004', '01/2000', '01/1996']","[None, None, None, None, None, None, None]","['Business Development Manager', 'Senior Student Loan Consultant', 'Territory Sales Manager', 'Route Sales Associate', 'Skill Trainer', 'Production Manager', 'Shift Manager']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",Data Engineer,True,True,mixed,218
"An enthusiast, with a Master's degree in Electronics & Telecommunication, very keen to learn & eagerly looking for opportunities.","['Data science', 'Deep learning', 'Neural Networks', 'Artificial Intelligence', 'Natural Language Processing', 'Pattern Recognition', 'Machine Learning', 'Predictive Analytics', 'Logistic regression']","['St. Subhash College, Hyderabad']",['B.CA'],['2020'],['N/A'],['BB House of Developers'],['Nov 2019'],['Feb 2020'],[['Machine Learning']],['Intern Trainee'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",Senior Software Engineer,True,True,mixed,219
,"['Superior attention to detail', 'Invoice coding familiarity', 'QuickBooks expert', 'Self-motivated professional', 'Strong communication skills', 'Accounting operations professional', 'Cash flow analysis', 'Data trending knowledge', 'Advanced bookkeeping skills', 'Responsible for preparing and posting entries for the daily posting packet', 'Verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources', 'System originated interfaces refers to the Credit Union owned system as well as external systems, such as shared branching and ATM transaction networks', 'A monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, and identifies and resolves errors, omissions, and irregularities to provide accurate records for TFCU and its service organizations', 'Calculates and posts month end and year-end accruals as needed', 'Responsible for maintaining fixed assets and prepaid sub-ledger accounts', 'Prepares budget variance reports for various departments as assigned', 'Works with that department manager in preparation of annual budget', 'Responds to inquiries from that manager regarding budgeted and actual expenses', 'Prepares analyses as requested by manager and other departments', 'Manages the accounts payable function - including employee/volunteer reimbursement - from processing incoming invoices, through cost center coding, approval by appropriate party, input into the system, to check preparation and mailing', 'Identifies vendors requiring an IRS Form 1099 and prepares the form and transmittal', 'Manages the Corporate VISA accounts for managers and volunteers, including ordering and canceling cards, processing corporate Visa accounts for payment, and resolving discrepancies', 'Along with other Finance Department staff, processes outgoing and incoming wires, verifies those wires have all required documentation, and works with branch staff to ensure incoming wires are posted and resolve issues', 'Responsible for assisting with the preparation of financial statements', 'Superior attention to detail', 'Invoice coding familiarity', 'QuickBooks expert', 'Self-motivated professional', 'Strong communication skills', 'Accounting operations professional', 'Cash flow analysis', 'Data trending knowledge', 'Advanced bookkeeping skills', 'Accounting', 'Accounting System', 'accounts payable', 'accruals', 'Articulate', 'ATM', 'banking', 'budget', 'Business Intelligence', 'calculator', 'cash flow', 'cashier', 'closing', 'Credit', 'documentation', 'equipment maintenance', 'filing', 'Finance', 'Financial', 'financial reports', 'financial statements', 'preparation of financial statements', 'fixed assets', 'funds', 'general ledger', 'general ledger accounts', 'ledger', 'mailing', 'Access', 'Excel', 'Microsoft Office', 'office', 'PowerPoint', 'Microsoft Word', 'Works', 'networks', 'PeopleSoft', 'policies', 'processes', 'coding', 'receiving', 'reconciling', 'Maintains files', 'reporting', 'research', 'sales', 'scanning', 'scheduling', 'phone', 'year-end']",['University of Maryland - State'],['Bachelor of Science Degree'],['2010'],['Finance'],"['Company Name', 'Company Name', 'Company Name']","['02/2017', '06/2015', '01/2011']","['Current', '02/2017', '08/2013']","[['Accounting operations professional', 'Cash flow analysis', 'Data trending knowledge', 'Advanced bookkeeping skills'], ['Accounting operations professional', 'Cash flow analysis', 'Data trending knowledge', 'Advanced bookkeeping skills'], ['Accounting operations professional', 'Cash flow analysis', 'Data trending knowledge', 'Advanced bookkeeping skills']]","['Accountant II', 'Accountant', 'Financial Service Representative/Back-up Supervisor']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,True,True,mixed,220
To obtain a challenging career in Electronic Technology field. Extensive experience successfully testing and analyzing complex circuit packs and systems. *Takes the initiative to take on challenging problems and follows through to their resolution. *Capable of working independently or as a team player. *Worked with fiber optics receivers and transmitters since 1999.,"['Microsoft office Suite (2013)', 'Reading Schematics', 'Troubleshooting', 'Problem solving', 'Lean Manufacturing', 'Inventory', 'Government Sell-Offs', 'Critical Thinking', 'Effective Multitasking', 'Deadline Compliance', 'Works well under pressure', 'Highly responsible and reliable', 'Establishing goals and setting priorities', 'Team player', 'Initiative to work independent']","['Northern Essex', 'Hesser College']","['Associate of Science', 'Associate Degree']","['2002', '2004']","['Electronic Technology Engineering computer System', 'Paralegal Studies']","['Company Name', 'Company Name', 'Company Name']","['12/2014', '07/2006', '02/1992']","['05/2015', 'Current', '11/2003']","[['Tested CWB', 'Manufacturing documentation', 'Engineering science and technology'], ['Thermal Production Line', 'Engineering science and technology', 'Blueprints analysis', 'Manufacturing documentation', 'Mathematical skills', 'Measuring instruments', 'Chemical handling', 'Leak detection systems', 'Production equipment operation', 'Calibrate and Align', 'Operational reports', 'Corrective actions', 'Communication'], ['Production support', 'Troubleshooting', 'Testing and troubleshooting', 'Training peers', 'Troubleshooting techniques', 'Advanced electronics', 'Production scheduling', 'Problem solving', 'Schematics reading', 'Microsoft Office', 'Collaboration', 'Surface mount line', 'HP test sets', 'Circuit packs']]","['Engineering Technician', 'Thermal Technician', 'Technical Support Specialists']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,True,True,mixed,221
